="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="log_real_wage",="log_real_wage",="sector_public",="log_real_wage",="log_real_wage",="sector_public"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="q1",="",="",="",="",="",=""
="sector_public",=".1561482",=".1213112",="",=".1496875",=".1257883",=""
="",=".0161831",=".0144996",="",=".0111685",=".0115389",=""
="q2",="",="",="",="",="",=""
="sector_public",=".1235763",=".1024436",="",=".1563905",=".1259742",=""
="",=".0129812",=".0108213",="",=".0092401",=".0086375",=""
="q3",="",="",="",="",="",=""
="sector_public",=".0625921",=".0506711",="",=".1402916",=".1072021",=""
="",=".0140912",=".0124653",="",=".0089996",=".0080211",=""
="q4",="",="",="",="",="",=""
="sector_public",="-.0169811",="-.0194633",="",=".1001802",=".0652399",=""
="",=".0157507",=".0160731",="",=".0118304",=".0104921",=""
="q5",="",="",="",="",="",=""
="sector_public",="-.0974037",="-.0892571",="",=".0464834",=".021481",=""
="",=".0203649",=".0198503",="",=".0176016",=".0143754",=""
="N",="49598",="49598",="49598",="46893",="46893",="46893"
